Model,MAE,MSE,R2
LinearRegression,80879.09723489822,10089009300.894522,0.9179971706834288
RobustRegression,200714.83530019602,62803061981.46838,0.48954068544988105
RidgeRegression,80882.08068490674,10089716572.554762,0.9179914220241199
LassoRegression,80879.1594263438,10089021397.171637,0.9179970723656538
ElasticNet,100124.30560527804,15561491345.783438,0.8735171828391082
PolynomialRegression,80886.67208241788,10099268150.572706,0.9179137874022706
SGDRegressor,2.0974632774820849e+18,4.484500967547153e+36,-3.644974015230241e+25
ANN,200512.05843345512,62653674239.9072,0.490754899562276
RandomForest,95018.56026796383,14573134937.283993,0.8815504811990308
SVM,279212.7242489848,123219501896.69862,-0.001520315935481742
KNN,203987.4662913469,63314173406.63843,0.48538640412155953
XGBoost,96076.29387955746,14912750470.898375,0.8787901076275872
LGBM,87681.38040878708,12313469588.940966,0.8999168981926512
